"last_name, first_name","player_id","year","player_age","pa","home_run","k_percent","bb_percent","xba","xslg","woba","xwoba","xwobacon","avg_swing_speed","fast_swing_rate","attack_angle","ideal_angle_rate","vertical_swing_path","launch_angle_avg","sweet_spot_percent","barrel_batted_rate","solidcontact_percent","hard_hit_percent","avg_best_speed","avg_hyper_speed","z_swing_percent","z_swing_miss_percent","oz_swing_percent","oz_swing_miss_percent","oz_contact_percent","out_zone_percent","meatball_swing_percent","iz_contact_percent","in_zone_percent","whiff_percent","swing_percent","pull_percent","groundballs_percent","flyballs_percent","linedrives_percent","popups_percent"
"Flaherty, Jack",656427,2026,30,182,5,24.2,15.9,".238",".408",".364",".357",".393","73.1",32.1,11,51,32.4,"22.6",34.6,8.7,8.7,47.1,"81.3693556","95.0887858",62.6,15.8,24,41.3,58.7,55.1,67.4,84.2,44.9,24,41.3,42.3,33.7,26.9,26,13.5
"Sánchez, Cristopher",650911,2026,29,236,3,28.4,5.9,".217",".338",".297",".267",".341","72.3",26.7,12.4,50.3,34.8,"0.3",29.9,8.4,4.5,40.9,"77.153995714","94.283591438",65.3,18.5,37.7,51.8,48.2,53.1,73.9,81.5,46.9,31.6,50.6,39,59.1,14.3,22.1,4.5
"Elder, Bryce",693821,2026,27,217,3,24.4,9.2,".208",".314",".247",".273",".308","72.1",25.9,10.7,46.6,33.9,"12.8",33.1,3.5,9.2,38.7,"79.711062","94.040879286",65.9,13.6,29.4,48,52,54.3,76.3,86.4,45.7,25.5,46.1,38,43.7,28.2,22.5,5.6
"Bello, Brayan",678394,2026,27,182,8,15.9,9.3,".304",".533",".387",".386",".429","72.5",29.1,13.2,45.9,33.2,"7.3",35.3,12.5,5.9,41.2,"77.778752239","95.181199104",67.1,20.3,30.1,41.1,58.9,51.7,73.1,79.7,48.3,27.1,48,49.3,50.7,23.5,22.8,2.9
"Bubic, Kris",663460,2026,28,187,3,25.1,12.3,".228",".378",".279",".316",".364","71.9",25,7.7,50,32.7,"12.8",37.9,7.8,6,37.9,"78.27799","93.834505877",66.2,15.9,29.2,50.9,49.1,52.8,83.3,84.1,47.2,27.4,46.6,44.8,45.7,29.3,20.7,4.3
"Gore, MacKenzie",669022,2026,27,204,6,26,10.8,".235",".401",".304",".319",".382","72.8",35.1,8.5,57.1,32.2,"17.8",35.2,10.9,8.6,43.8,"77.208597969","95.281042126",69.7,14.4,30.3,43,57,53.4,87,85.6,46.6,23.9,48.6,43,34.4,28.1,28.9,8.6
"Cease, Dylan",656302,2026,30,217,1,34.6,9.7,".213",".289",".265",".272",".358","71.9",29,10.1,46.1,32.7,"12.1",31.4,4.3,4.2,37.3,"75.042906897","93.996219569",64.9,24.8,32,53,47,57.4,66,75.2,42.6,36.1,46,41.5,47.5,14.4,28,10.2
"Lorenzen, Michael",547179,2026,34,211,7,14.7,6.6,".314",".489",".415",".373",".409","72.3",30.9,11.9,47.8,32.4,"9.6",38.7,9.3,4.9,47.9,"78.10033037","95.250892593",66,13.3,25.1,38.8,61.2,52.2,72,86.7,47.8,20.8,44.6,44.2,47.2,20.2,28.8,3.7
"Gray, Sonny",543243,2026,36,139,4,15.1,5.8,".294",".478",".300",".355",".397","72.6",28.1,12.1,58.5,34,"9.8",39.4,10.6,2.8,33.9,"76.245555577","93.652192115",62.7,9.5,28.7,39,61,53.2,71.4,90.5,46.8,19.6,44.6,45.9,47.7,19.3,26.6,6.4
"Valdez, Framber",664285,2026,32,223,5,18.8,7.6,".257",".404",".315",".326",".359","71.9",24.9,10.8,50.4,34.2,"7.6",27.7,6.4,3.8,44,"78.931552658","94.914844522",62.6,9.1,35.2,43.4,56.6,51.5,72.3,90.9,48.5,21.9,48.5,49.1,53.5,22.6,20.8,3.1
"Mize, Casey",663554,2026,29,128,2,27.3,8.6,".222",".369",".298",".295",".362","72.6",31.1,10.9,53.4,31.4,"13.1",30.9,8.6,8.6,42,"76.23296775","94.425835625",63.3,21,30.8,42.1,57.9,52.2,67.7,79,47.8,28.3,46.3,40.7,39.5,28.4,24.7,7.4
