Name,OttoneuID,"FG MajorLeagueID","FG MinorLeagueID","MLB Org",Position(s),"Avg Salary","Median Salary","Min Salary","Max Salary","Last 10",Roster%
"Kodai Senga",42723,31838,,NYM,SP,$6.94,$7.00,$1,$24,$5.40,44.056
"Carlos Estevez",23613,14542,sa598491,"KCR AAA",RP,$6.88,$7.00,$2,$12,$4.20,34.965
"Ivan Herrera",26099,20599,sa3003191,STL,C,$6.86,$6.00,$3,$23,$10.80,100
"Bryson Stott",37531,26294,sa3011443,PHI,2B/SS,$6.86,$6.50,$1,$15,$5.50,78.322
"Jonathan Aranda",33217,21837,sa919293,TBR,1B,$6.82,$7.00,$1,$15,$7.90,99.301
"Alec Bohm",33609,21618,sa3007284,PHI,1B/3B,$6.73,$6.50,$1,$16,$5.50,55.944
"Alec Burleson",38368,27615,sa3014466,STL,1B/OF,$6.68,$6.00,$2,$24,$11.70,99.301
"Samuel Basallo",39288,28824,sa3015716,BAL,C/1B,$6.68,$7.00,$3,$15,$11.30,99.301
"Griffin Jax",31438,20253,sa738570,TBR,RP,$6.67,$6.00,$1,$16,$4.30,64.336
"Evan Carter",38389,27790,sa3014490,TEX,OF,$6.63,$7.00,$1,$15,$6.30,93.706
"Spencer Torkelson",38320,27465,sa3014504,DET,1B,$6.63,$6.00,$1,$18,$7.40,100
"Trevor Rogers",33607,22286,sa3005423,BAL,SP,$6.62,$6.00,$1,$15,$6.00,98.601
"Hunter Goodman",40389,29715,sa3017173,COL,C,$6.58,$6.00,$3,$19,$14.30,100
"Kyle Manzardo",40508,29794,sa3017342,CLE,1B,$6.48,$6.00,$3,$17,$5.80,62.238
"Jeff Hoffman",18364,17432,sa709602,TOR,RP,$6.47,$6.00,$1,$14,$4.30,94.406
"Andy Pages",33949,24816,sa3005625,LAD,OF,$6.45,$6.00,$3,$20,$9.50,100
"Jared Jones",38361,27863,sa3014459,PIT,RP,$6.44,$6.00,$1,$13,$4.70,99.301
"Pablo Lopez",18786,17085,sa736473,MIN,SP,$6.43,$5.00,$1,$23,$7.20,35.664
"Marcus Semien",18263,12533,sa546772,NYM,2B,$6.43,$7.00,$1,$17,$4.50,68.531
"Daniel Palencia",38781,27914,sa3015122,CHC,RP,$6.40,$6.00,$2,$19,$8.00,99.301
"Jeremiah Estrada",27208,22210,sa3005339,SDP,RP,$6.39,$6.00,$2,$12,$4.70,92.308
